;ZIP;TAR;gzip;bzip2;7z;xz;RAR;LHA/LZH;ACE;StuffIt;StuffIt X;ARJ;KGB;DAR;ARC;CAB;ALZ;ISO/CD Image;ZPAQ
7-Zip;yes;yes;yes14;yes14;yes;yes14;no;no;no;no;no;no;no;no;no;no;no;no;no
ALZip6;yes;yes;yes;yes;no;unk;no;no;no;no;no;no;no;no;no;yes;yes;unk;no
Archive Manager;yes;yes;yes;yes;yes;yes;no12;yes;unk;unk;unk;yes;unk;unk;unk;unk;unk;no;no
Archive Utility;yes;no;no;no;no;unk;no;no;no;no;no;no;no;no;no;no;no;no;no
Ark;yes;yes;yes;yes;yes;no;no10;yes;no;no;no;no;no;no;no;no;no;no;no
B1 Free Archiver;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
BetterZip;yes;yes;yes;yes;yes;no;yes;no;no;no;no;no;no;no;no;no;no;no;no
bsdtar/libarchive;yes;yes;yes15;yes15;yes;yes15;no;no;no;no;no;no;no;no;no;no;no;yes;no
Commander One;yes;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no
CRAX Commander;yes;yes;yes;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;yes;no
Disk ARchiver;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no
Filzip;yes;yes;yes;no;no;unk;no;yes;no;no;no;no;no;unk;unk;unk;unk;unk;no
FreeArc;no;unk;unk;unk;no;unk;no;unk;unk;unk;unk;unk;unk;unk;yes;unk;unk;unk;no
GNU tar;no;yes;yes1;yes1;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no
iArchiver;yes;yes;yes;yes;yes;unk;no;no;no;no;no;no;no;no;no;no;no;no;no
Info-ZIP;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
KGB Archiver;yes;no;no;no;no;unk;no;no;no;no;no;no;yes;unk;unk;unk;unk;unk;no
PeaZip;yes;yes;yes;yes;yes;yes;no;no;no;no;no;no;no;no;yes;no;no;no;yes
PKZIP;yes;yes;yes;yes;no;unk;no;no;no;no;no;no;no;unk;unk;unk;unk;unk;no
PowerArchiver;yes;yes;yes;yes;yes;yes;yes;yes;no;no;no;no;no;no;no;yes;no;no;yes
Star;no;yes;yes1;yes1;yes1;yes1;no;no;no;no;no;no;no;no;no;no;no;no;no
StuffIt4;yes;yes;yes;yes;no;unk;no9;yes;no;yes;yes;no;no;unk;unk;unk;unk;unk;no
TUGZip;yes;yes;yes;yes;yes;unk;no2;yes;no4;no;no;no;no;no;no;yes;no;unk;no
WinAce;yes;yes;yes;yes;no;unk;no;yes;yes;no;no;no;no;unk;unk;yes;unk;yes;no
WinRAR;yes;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no
WinZip;yes;no;no;no;no;unk;no;yes;no;no;no;no3;no;unk;yes;no;no;no;no
Xarchiver;yes;yes;yes;yes;yes;unk;no11;yes;no;unk;unk;yes;unk;unk;unk;unk;unk;unk;no
ZipGenius;yes;yes7;yes7;yes7;yes;unk;no;yes8;no;no;no;no;no;no;unk;yes7;no;no;no
;ZIP;TAR;GZ;BZ/BZ2;7z;xz;RAR;LHA/LZH;ACE;SIT;SITX;ARJ;KGB;DAR;ARC;CAB;ALZ;ISO/CD Image;ZPAQ
