Framework;Internet Explorer;Mozilla Firefox;Safari;Opera;Chrome
AngularJS (1.3);8+ (9+);4+;5+;11+;30+
Dojo;6+;3+;4;10.50+;3
Ember.js;6+;3+;4+;10.6+;14+
Enyo;8+;>4;>5;;>10
Ext JS;6+;3.6+;4+;11+;10+
Google Web Toolkit;8+;1+;5+;9+;1+
jQuery;6+;2+;3+;9+;1+
jQWidgets;7+;2+;3+;9+;1+
MooTools;6+;2+;3+;9+;1+
Prototype & script. aculo.us;6+;1.5+;2.0.4+;9.25+;1+ (starting with 1.6.1RC3)
qooxdoo;6+;2+;3+;9+;2+
SmartClient and SmartGWT;6+;1+;3+;9+;1+
SproutCore;6+;3+;4+;9+;1+
Wakanda;9+;4+;5+;;11+
ZK;6+;2.0+;3+;9+;2+
Webix;8+;3+;4+;9+;1+
