 File system; Stores file owner; POSIX file permissions; Creation timestamps; Last access/ read timestamps; Last metadata change timestamps; Last archive timestamps; Access control list; Security/ MAC labels; Extended attribute/ Alternate data streams/ forks; Checksum/ ECC
BeeGFS;yes;yes;no;yes;yes;no;yes;dunno;yes;yes
CP/M file system;no;no;yesImplemented in later versions as an extension;no;no;no;no;no;no;no
DECtape;no;no;yes;no;no;no;no;no;no;no
Elektronika BK tape format;no;no;no;no;no;no;no;no;no;yes
Level-D;yes;yes;yes;yes;yes;yes;yes;no;no;no
RT-11;no;no;yes (date only);no;no;no;no;no;no;yes
Version 6 Unix file system (V6FS);yes;yes;no;yes;no;no;no;no;no;no
Version 7 Unix file system (V7FS);yes;yes;no;yes;no;no;no;no;no;no
FAT12/FAT16/FAT32;no;no;yes;yes;noSome FAT implementations, such as in Linux, show file modification timestamp (mtime) in the metadata change timestamp (ctime) field. This timestamp is however, not updated on file metadata change.;no;no;no;noParticular [[Installable File System]] drivers and [[operating system]]s may not support extended attributes on FAT12 and FAT16. The OS/2 and Windows NT filesystem drivers for FAT12 and FAT16 support extended attributes (using a ""EA&nbsp";DATA.&nbsp";SF"" pseudo-file to reserve the clusters allocated to them). Other filesystem drivers for other operating systems do not.;no
HPFS;yesThe ''f-node'' contains a field for a user identifier. This is not used except by [[OS/2|OS/2 Warp Server]], however.;no;yes;yes;no;no;no;dunno;yes;no
NTFS;yes;yesNTFS [[access control list]]s can express any access policy possible using simple POSIX file permissions (and far more), but use of a POSIX-like interface is not supported without an add-on such as [[Services for UNIX]] or [[Cygwin]].;yes;yes;yes;no;yes;yesAs of Vista, NTFS has support for Mandatory Labels, which are used to enforce [[Mandatory Integrity Control]].;yes;no
ReFS;yes;yes;yes;yes;yes;no;yes;dunno;yesInitially, ReFS lacked support for ADS, but Server 2012 R2 and up add support for ADS on ReFS;yesData checksums not enabled by default
HFS;no;no;yes;no;no;yes;no;no;yes;no
HFS Plus;yes;yes;yes;yes;yes;yes;yes;dunno;yes;no
FFS;yes;yes;no;yes;yes;no;no;no;no;no
UFS1;yes;yes;no;yes;yes;no;yesAccess-control lists and MAC labels are layered on top of extended attributes.;yesnote-33;noSome operating systems implemented extended attributes as a layer over [[UFS1 (file system)|UFS1]] with a parallel backing file (e.g., FreeBSD 4.x).;no
UFS2;yes;yes;yes;yes;yes;no;yesnote-33;yesnote-33;yes;no
HAMMER;yes;yes;yes;yes;yes;dunno;yes;yes;dunno;yes
LFS;yes;yes;no;yes;yes;no;no;no;no;no
ext;yes;yes;no;no;no;no;no;no;no;no
Xiafs;yes;yes;no;yes;yes;no;no;no;no;no
ext2;yes;yes;no;yes;yes;no;yesSome [[Installable File System]] drivers and [[operating system]]s may not support extended attributes, access control lists or security labels on these filesystems. Linux kernels prior to 2.6.x may either be missing support for these altogether or require a [[patch (computing)|patch]].;yesnote-23;yes;no
ext3;yes;yes;no;yes;yes;no;yesnote-23;yesnote-23;yes;no
ext4;yes;yes;yes;yes;yes;no;yesnote-23;yesnote-23;yes;partial Journal and metadata only
NOVA;yes;yes;yes;yes;yes;no;no;no;no;yes
Lustre;yes;yes;no;yes;yes;no;yes;yes;yes;no
F2FS;yes;yes;yes;yes;yes;no;yesnote-23;yesnote-23;yes;no
GPFS;yes;yes;yes;yes;yes;no;yes;yes;yes;yes
GFS;yes;yes;no;yes;yes;no;yesnote-23;yesnote-23;yes;no
NILFS;yes;yes;yes;no;yes;no;no;no;no;yes
ReiserFS;yes;yes;no;yes;yes;no;yesnote-23;yesnote-23;yes;no
Reiser4;yes;yes;no;yes;yes;no;no;no;no;no
OCFS;no;yes;no;no;yes;yes;no;no;no;no
OCFS2;yes;yes;no;yes;yes;no;no;no;no;no
XFS;yes;yes;partialCreation time stored since June 2015, xfsprogs version 3.2.3;yes;yes;no;yes;yesnote-23;yes;partialMetadata checksums stored since June 2015, xfsprogs version 3.2.3
JFS;yes;yes;yes;yes;yes;no;yes;yes;yes;no
QFS;yes;yes;yes;yes;yes;yes;yes;no;yes;no
BFS;yes;yes;yes;no;no;no;no;no;yes;no
AdvFS;yes;yes;no;yes;yes;no;yes;no;yes;no
NSS;yes;yes;yesThe local time, timezone/[[UTC]] offset, and date are derived from the time settings of the reference/single timesync source in the NDS tree.;yesnote-31;yes;yesnote-31;yes;dunno;yesNovell calls this feature ""multiple data streams"". Published specifications say that NWFS allows for 16 attributes and 10 data streams, and NSS allows for unlimited quantities of both.Some file and directory metadata is stored on the NetWare server irrespective of whether Directory Services is installed or not, like date/time of creation, file size, purge status, etc"; and some file and directory metadata is stored in [[Novell Directory Services|NDS/eDirectory]], like file/object permissions, ownership, etc.;no
NWFS;yes;dunno;yesnote-31;yesnote-31;yes;yesnote-31;yes;dunno;yesnote-19note-29;no
ODS-5;yes;yes;yes;dunno;dunno;yes;yes;dunno;yesRecord Management Services (RMS) attributes include record type and size, among many others.;no
APFS;yes;yes;yes;yes;yes;yes;yes;dunno;yes;partial
VxFS;yes;yes;yes;yes;yes;no;yes;dunno;yesnote-23;no
UDF;yes;yes;yes;yes;yes;yes;yes;no;yes;no
Fossil;yes;yesFile permission in [[9P (protocol)|9P]] are a variation of the traditional Unix permissions with some minor changes, e.g. the suid bit is replaced by a new 'exclusive access' bit.;no;yes;yes;no;no;no;no;no
ZFS;yes;yes;yes;yes;yes;yes;yes;yesSupported on FreeBSD and Linux implementations, support may not be available on all operating systems.;yesSolaris ""extended attributes"" are really full-blown alternate data streams, in both the Solaris UFS and ZFS.;yes
Btrfs;yes;yes;yes;yes;yes;no;yes;yes;yes;yes disabling copy-on-write (COW) to prevent fragmentation also disables checksumming
Minix V1;yes;yes;no;no;no;no;no;no;no;no
Minix V2;yes;yes;no;yes;yes;no;no;no;no;no
Minix V3;yes;yes;no;yes;yes;no;no;no;no;no
VMFS2;yes;yes;no;yes;yes;no;no;no;no;no
VMFS3;yes;yes;no;yes;yes;no;no;no;no;no
ISO 9660:1988;no;no;yes;no;no;no;no;no;no;no
Rock Ridge;yes;yes;no;yesAccess times are preserved from the original file system at creation time, but Rock Ridge file systems themselves are read-only.;yes;no;no[[libburnia]] can backup and restore ACLs with file system creation and extraction programs, but no kernel support exists.;no[[libburnia]] can backup and restore extended attributes and MAC labels with file system creation and extraction programs, but no kernel support exists.;nonote-78;no
Joliet (""CDFS"");no;no;yes;no;no;no;no;no;no;no
ISO 9660:1999;no;no;yes;no;no;no;no;no;no;no
High Sierra;no;no;yes;no;no;no;no;no;no;no
SquashFS;yes;yes;yes;yes;yes;no;yes;no;yes;no
File system;Stores file owner;POSIX file permissions;Creation timestamps;Last access/read timestamps;Last metadata change timestamps;Last archive timestamps;Access control list;Security/ MAC labels;Extended attribute/ Alternate data streams/ forks;Checksum/ ECC
