Name;English;Afrikaans;Danish;Dutch;French;German;Italian;Norwegian;Polish;Russian;Spanish;Swedish
Agelong Treea;Yes;Nob;Nob;Yes;Yes;Yes;Yes;Nob;Yes;Yes;Yes;Nob
Ahnenblattc;Yes;Nob;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Ancestral Questd;Yes;Nob;Yes;Nob;Yes;Yes;Nob;Yes;partial;No;Yes;partial
Brother's Keeper;Yes;Yes;Yes;Yes;Yes;Yes;Nob;Yes;Yes;Yes;Nob;Yes
Family Historian;Yes;No;No;No;No;No;No;No;No;No;No;No
Family Tree Builder;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;yes;Yes
Family Tree Maker (Windows);Yes;No;Yes;No;No;No;No;No;No;No;No;No
Family Tree Maker for Mac;Yes;No;No;No;No;No;No;No;No;No;No;No
GEDitCOM II;Yes;No;No;No;Yes;No;No;No;No;No;Yes;Yes
Genbox Family Historyf;Yes;No;Yes;Yes;Yes;Yes;Yes;partial;Yes;Yes;partial;partial
GenealogyJ;Yes;No;No;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No
GenEarth;Yes;No;No;No;Yes;No;No;No;No;No;No;No
Genney;Yes;No;No;No;No;No;No;No;No;No;No;Yes
GenoProgh;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
Grampsi;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Heredis;Yes;No;No;No;Yes;No;No;No;No;No;No;No
Legacy Family Tree;yesj;yes;yes;yes;yes;yes;yes;yesk;no;No;public<br />test;yes
LifeLines;Yes;no;Yes;no;Yes;Yes;no;no;no;No;no;Yes
MacFamilyTree;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Personal Ancestral File;(v4.x/5.x);No;No;No;(v4.x);(v4.x/5.x);No;No;No;No;(v4.x);(v5.x)
Reunionl;Yes;No;No;Yesl;Yesl;Yesl;No;Yesl;No;No;No;No
RootsMagic;Yes;No;No;No;No;No;No;No;No;No;No;No
The Master Genealogist;yesn;yes;yes;yes;yes;yes;partial;yes;nog;No;nog;yes
;;;;;;;;;;;;
