Shell;Functions;Exception handling;Search & replace on variable substitutions;metic;Floating point;Math function library;Linear arrays or lists;iative arrays;Lambda functions;tion;random number generation;Bytecode
Bourne shell 1977 version;no;Yes (via <tt>trap</tt>);no;no;no;no;no;no;no;yes;no;no
Bourne shell current version;Yes since SVR2;Yes (via <tt>trap</tt>);no;yes;no;no;no;no;no;yes;no;no
POSIX shell;yes;Yes (via <tt>trap</tt>);no;yes;no;no;no;no;no;yes;no;no
bash (v4.0);yes;Yes (via <tt>trap</tt>);Yes (via <tt>${//}</tt> syntax);yes;no;no;yes;yes;no;yes;Yes (<tt>$RANDOM</tt>);no
csh;no;no;Yes (via <tt>$var:s///</tt> syntax);yes;no;no;yes;no;no;yes;no;no
tcsh;no;no;Yes (via <tt>$var:s///</tt> syntax);yes;no;no;yes;no;no;yes;no;no
Hamilton C shell;yes;no;Yes (via <tt>$var:s///</tt> syntax);yes;yes;yes;yes;no;no;yes;Yes (random utility);no
Scsh;yes;?;Yes (via string functions and regular expressions);?;?;?;yes;?;yes;yes;Yes (random-integer, random-real);Yes (compiler is Scheme48 virtual machine, via <tt>scshvm</tt>)
ksh (ksh93t+);yes;Yes (via <tt>trap</tt>);Yes (via <tt>${//}</tt> syntax and builtin commands);yes;yes;no;yes;yes;no;yes;Yes (<tt>$RANDOM</tt>);Yes (compiler is called <tt>shcomp</tt>)
pdksh;yes;Yes (via <tt>trap</tt>);no;yes;no;no;yes;no;no;yes;Yes (<tt>$RANDOM</tt>);no
zsh;yes;yes;Yes (via <tt>${:s//}</tt> and <tt>${//}</tt> syntax);yes;yes;Yes (<tt>zsh/mathfunc</tt> module);yes;yes;no;yes;Yes (<tt>$RANDOM</tt>);Yes (built-in <tt>zcompile</tt> command)
ash;yes;yes (via trap);no;Yes (since 1992);no;no;no;no;no;yes;no;no
CCP;no;?;no;no;?;?;no;no;no;no;no;no
COMMAND.COM;no;partial (only Auto-fail (via COMMAND /F (or /N in some versions of DR-DOS));no;no;no;no;no;no;no;no;no;no
OS/2 CMD.EXE;no;no;no;?;no;no;?;no;no;no;no;no
Windows CMD.EXE;Yes (via <tt>CALL :label</tt>);no;Yes (via <tt>SET %''varname'':''expression''</tt> syntax);Yes (via <tt>SET /A</tt>);no;no;);no;no;no;Yes (<tt>%random%</tt>);no
4DOS;yes;Yes (via <tt>ON</tt> command, optional Auto-fail via <tt>4DOS /F</tt>);Yes (via <tt>%@Replace[…]</tt> function);Yes (via <tt>SET /A</tt>);?;?;Yes (via ranges, include lists, <tt>@</tt>file lists and <tt>FOR</tt> command);no;no;yes;Yes (<tt>%@Random[…]</tt> function);Yes (via <tt>BATCOMP</tt> command)
4OS2;?;?;?;?;?;?;?;?;no;yes;yes (%@Random[…] function);?
TCC (formerly 4NT);yes;Yes (via <tt>ON</tt> and various <tt>…MONITOR</tt> commands);Yes (via <tt>%@Replace[…]</tt> function);Yes (via <tt>SET /A</tt>);?;?;Yes (via ranges, include lists, <tt>@</tt>file lists and <tt>FOR</tt> command);?;no;yes;yes (%@Random[…] function);yes (via BATCOMP command)
PowerShell;yes;yes (Try-Catch-Finally);Yes (<tt>-replace</tt> operator);yes;yes;[Math] class;yes;yes;yes;yes;yes;Yes, automatic
rc;yes;yes;no;?;?;?;yes;?;no;yes;no;no
BeanShell;yes;yes;?;yes;?;?;yes;yes;no;yes;yes;yes
VMS DCL;yes;yes;no;yes;no;yes, for compiled programs;yes;no;no;no;no;no
fish;yes;Yes (via <tt>trap</tt>);no;Optional;Optional;Optional;yes;no;no;yes;Yes (<tt>random</tt>);no
