Software;BibTeX;Endnote/Refer/BibIX;Medline;MODS XML;RIS;Other
Aigaion;yes;no;no;no;yes;none
Bebop;yes;no;no;no;no;[[unAPI]]
BibBase;yes;no;no;no;no;none
BibDesk;yes;no;yes;yes;yes;Endnote XML, user customizable
BibSonomy;yes;yes;no;no;yes;various [http://www.bibsonomy.org/export/]
Bibus;yes;yes;yes;no;yes;[[SQLite]]
Bookends;yes;yes;yes;no;yes;various user-customizable
Citavi;yes;yes;yes;yes;yes;various
CiteULike;yes;no;no;no;yes;[[COinS]], [[Delicious (website)|Delicious]]
colwiz;yes;yes;no;yes;yes;EndNote XML, CSL formatted HTML
EndNote;yes;yes;yes;no;yes;various
F1000Workspace;yes;no;no;no;yes;[[Comma-separated values|CSV]]
JabRef;yes;yes;no;yes;yes;BibTeXML, [[DocBook]], [[HTML]], [[OpenDocument]] for [[OpenOffice.org|OO.o]], [[Rich Text Format|RTF]], SQL database, user-customizable
KBibTeX;yes;yes;no;depends;yes;PDF, PostScript, HTML, XML, RTF
Mendeley;yes;yes;no;no;yes;[[Endnote]] XML
Paperpile;yes;no;no;no;yes;none
Papers;yes;yes;no;no;yes;[[Bookends (software)|Bookends]], [[Comma-separated values|CSV]], [[Endnote]] XML, PDF
Pybliographer;yes;yes;yes;no;no;[[Ovid Technologies|Ovid]]
ReadCube;yes;yes;no;no;yes;none
Qiqqa;yes;no;no;no;no;none
refbase;yes;yes;no;yes;yes;[[COinS]], [[OpenDocument]] for [[OpenOffice.org|OO.o]], [[Search/Retrieve Web Service|SRW]] XML via [[Search/Retrieve via URL|SRU]], [[unAPI]], [[Office Open XML|Word XML]]
RefDB;yes;yes;no;yes;yes;[[Search/Retrieve Web Service|SRW]] XML via [[Search/Retrieve via URL|SRU]] web service, [[DocBook]], [[Text Encoding Initiative|TEI]]
Reference Manager;no;no;no;no;yes;[[MEDLARS]], [[Delimiter-separated values|TSV]], [[Comma-separated values|CSV]], Reference Manager XML, user-customizable
Referencer;yes;no;no;no;no;none
RefWorks;yes;yes;no;yes;yes;RIS, BibTeX, Tab delimited or XML metadata
SciRef;no;no;no;no;yes;Plain text, RTF
Sente;yes;yes;no;no;yes;user-customizable
Wikindx;yes;yes;no;yes;yes;[[COinS]], RTF, HTML, ADS, Word BIB
WizFolio;no;no;no;no;yes;no
Zotero;yes;yes;as of version 4.0;yes;yes;[[COinS]], [[Comma-separated values|CSV]], Several [[Resource Description Framework|RDF]] format standards, [[Text Encoding Initiative|TEI]], Wikipedia citation templates, Endnote XML, CSL JSON, Refer/BiblX, RefWorks tagged
