Software;APA;Chicago/Turabian;Harvard;MLA;Other;Extension method
Aigaion;yes;yes;yes;yes;[[British Medical Journal|BMJ]], [[IEEE]];[[OSBIB]]
Bebop;no;no;no;no;none;none
BibBase;yes;no;no;no;none;none
BibDesk;yes;[https://sourceforge.net/p/bibdesk/wiki/Templates/ yes];no;no;[http://bibdesk.sourceforge.net/wiki/index.php/Export_Templates various];BibDesk export templates
Biblioscape;yes;yes;yes;yes;2000+ styles;Biblioscape format (through [[GUI]])
BibSonomy;yes;no;yes;no;none;none
Bibus;yes;no;no;no;[http://bibus-biblio.sourceforge.net/wiki/index.php/Styles_repository 56 styles, user-contributed];bibus format (through [[GUI]])
Bookends;yes;yes;yes;yes;various;dunno
Citavi;yes;yes;yes;yes;9300+ styles. Styles can be [http://www.citavi.com/stylerequest requested] and are [http://www.citavi.com/styleproblem centrally corrected]"; any BibTeX style when used with LaTeX.;Citavi format (through [[GUI]]), includes conditions and programmable components"; BibTeX
CiteULike;yes;yes;yes;yes;various;none
colwiz;yes;yes;yes;yes;[http://www.zotero.org/styles 9135 styles];[[Citation Style Language|CSL]]
EndNote;yes;yes;yes;yes;[https://endnote.com/downloads/styles/ 6892 styles];EndNote format (through [[GUI]])
F1000Workspace;yes;yes;yes;yes;[http://www.zotero.org/styles 9135 styles];[[citation style language|CSL]]
JabRef;yes;yes;yes;yes;any [[BibTeX]] style;[[BibTeX]]
KBibTeX;yes;yes;yes;yes;any [[BibTeX]] style;[[BibTeX]]
Mendeley;yes;yes;yes;yes;[http://www.zotero.org/styles 9135 styles];[[citation style language|CSL]]
Paperpile;yes;yes;yes;yes;[http://www.zotero.org/styles 9135 styles];[[citation style language|CSL]]
Papers;yes;yes;yes;yes;[http://www.zotero.org/styles 9135 styles];[[citation style language|CSL]]
Pybliographer;yes;no;no;no;none;Pybliographer [[XML]]
Qiqqa;yes;yes;yes;yes;[http://www.zotero.org/styles 9100+ styles];[[BibTeX]] and [[citation style language|CSL]]
ReadCube;yes;yes;yes;yes;[http://www.zotero.org/styles 9100+ styles];[[BibTeX]] and [[citation style language|CSL]]
refbase;yes;yes;yes;yes;various polar & marine journals;[[PHP]]
RefDB;yes;yes;yes;yes;[http://refdb.sourceforge.net/styles.html 21 biomedical & law journals];XML (citestylex.dtd), interactive script
Reference Manager;yes;yes;yes;yes;various;Reference Manager format (through [[GUI]])
Referencer;dunno;dunno;dunno;dunno;dunno;dunno
RefWorks;yes;yes;yes;yes;13000;RefWorks format (through [[GUI]])
SciRef;yes;yes;yes;yes;[http://sci-progs.com/help/index.html?adding_of_new_styles.htm various];SciRef format (through [[GUI]])
Sente;yes;yes;yes;yes;[http://www.thirdstreetsoftware.com/downloads/SenteUserManual/Sente-6.6-User-Manual.pdf various];Sente format (through [[GUI]])
Wikindx;yes;yes;yes;yes;[[British Medical Journal|BMJ]], [[IEEE]], Built-in style editor to create your own;[[OSBIB]]
WizFolio;yes;yes;yes;yes;[https://help.wizfolio.com/Contents/WizCite_Intro.aspx 1000+ styles];WizFolio format (through [[GUI]])
Zotero;yes;yes;yes;yes;[http://www.zotero.org/styles 9135 styles];[[citation style language|CSL]]
